Data_horario;Frutas
2022-06-01 12:20:00;manga
2022-06-01 12:40:00;banana
2022-06-01 13:00:00;melancia
2022-06-01 13:20:00;abacate
2022-06-01 13:40:00;abacaxi
2022-06-01 14:00:00;tangerina
2022-06-01 14:20:00;abacaxi
2022-06-01 14:40:00;manga
2022-06-01 15:00:00;uva
2022-06-01 15:20:00;abacate
2022-06-01 15:40:00;tangerina
2022-06-01 16:00:00;goiaba
2022-06-01 16:20:00;abacate
2022-06-01 16:40:00;abacaxi
2022-06-01 17:00:00;melancia
2022-06-01 17:20:00;melancia
2022-06-01 17:40:00;abacaxi
2022-06-01 18:00:00;goiaba
2022-06-01 18:20:00;abacaxi
2022-06-01 18:40:00;tangerina
2022-06-01 19:00:00;melancia
2022-06-01 19:20:00;abacate
2022-06-01 19:40:00;uva
2022-06-01 20:00:00;abacaxi
2022-06-01 20:20:00;goiaba
2022-06-01 20:40:00;uva
2022-06-01 21:00:00;abacate
2022-06-01 21:20:00;uva
2022-06-01 21:40:00;uva
2022-06-01 22:00:00;melancia
2022-06-01 22:20:00;abacate
2022-06-01 22:40:00;goiaba
2022-06-01 23:00:00;abacate
2022-06-01 23:20:00;tangerina
2022-06-01 23:40:00;banana
2022-06-02 00:00:00;laranja
2022-06-02 00:20:00;melancia
2022-06-02 00:40:00;banana
2022-06-02 01:00:00;tangerina
2022-06-02 01:20:00;abacaxi
2022-06-02 01:40:00;uva
2022-06-02 02:00:00;laranja
2022-06-02 02:20:00;tangerina
2022-06-02 02:40:00;banana
2022-06-02 03:00:00;abacaxi
2022-06-02 03:20:00;uva
2022-06-02 03:40:00;uva
2022-06-02 04:00:00;goiaba
2022-06-02 04:20:00;manga
2022-06-02 04:40:00;abacaxi
2022-06-02 05:00:00;tangerina
2022-06-02 05:20:00;abacaxi
2022-06-02 05:40:00;uva
2022-06-02 06:00:00;abacate
2022-06-02 06:20:00;uva
2022-06-02 06:40:00;goiaba
2022-06-02 07:00:00;pessego
2022-06-02 07:20:00;tangerina
2022-06-02 07:40:00;melancia
2022-06-02 08:00:00;manga
2022-06-02 08:20:00;pessego
2022-06-02 08:40:00;uva
2022-06-02 09:00:00;pessego
2022-06-02 09:20:00;manga
2022-06-02 09:40:00;laranja
2022-06-02 10:00:00;goiaba
2022-06-02 10:20:00;banana
2022-06-02 10:40:00;goiaba
2022-06-02 11:00:00;abacaxi
2022-06-02 11:20:00;uva
2022-06-02 11:40:00;laranja
2022-06-02 12:00:00;tangerina
2022-06-02 12:20:00;pessego
2022-06-02 12:40:00;manga
2022-06-02 13:00:00;pessego
2022-06-02 13:20:00;laranja
2022-06-02 13:40:00;uva
2022-06-02 14:00:00;abacaxi
2022-06-02 14:20:00;abacaxi
2022-06-02 14:40:00;tangerina
2022-06-02 15:00:00;melancia
2022-06-02 15:20:00;banana
2022-06-02 15:40:00;manga
2022-06-02 16:00:00;banana
2022-06-02 16:20:00;pessego
2022-06-02 16:40:00;melancia
2022-06-02 17:00:00;abacate
2022-06-02 17:20:00;abacaxi
2022-06-02 17:40:00;tangerina
2022-06-02 18:00:00;uva
2022-06-02 18:20:00;manga
2022-06-02 18:40:00;manga
2022-06-02 19:00:00;manga
2022-06-02 19:20:00;uva
2022-06-02 19:40:00;pessego
2022-06-02 20:00:00;uva
2022-06-02 20:20:00;pessego
2022-06-02 20:40:00;abacaxi
2022-06-02 21:00:00;abacaxi
2022-06-02 21:20:00;laranja
2022-06-02 21:40:00;pessego
2022-06-02 22:00:00;abacaxi
2022-06-02 22:20:00;abacate
2022-06-02 22:40:00;laranja
2022-06-02 23:00:00;uva
2022-06-02 23:20:00;pessego
2022-06-02 23:40:00;laranja
2022-06-03 00:00:00;melancia
2022-06-03 00:20:00;manga
2022-06-03 00:40:00;abacate
2022-06-03 01:00:00;pessego
2022-06-03 01:20:00;manga
2022-06-03 01:40:00;banana
2022-06-03 02:00:00;uva
2022-06-03 02:20:00;abacaxi
2022-06-03 02:40:00;pessego
2022-06-03 03:00:00;abacate
2022-06-03 03:20:00;goiaba
2022-06-03 03:40:00;laranja
2022-06-03 04:00:00;banana
2022-06-03 04:20:00;goiaba
2022-06-03 04:40:00;melancia
2022-06-03 05:00:00;melancia
2022-06-03 05:20:00;pessego
2022-06-03 05:40:00;abacaxi
2022-06-03 06:00:00;banana
2022-06-03 06:20:00;pessego
2022-06-03 06:40:00;melancia
2022-06-03 07:00:00;tangerina
2022-06-03 07:20:00;laranja
2022-06-03 07:40:00;banana
2022-06-03 08:00:00;melancia
2022-06-03 08:20:00;tangerina
2022-06-03 08:40:00;laranja
2022-06-03 09:00:00;melancia
2022-06-03 09:20:00;manga
2022-06-03 09:40:00;melancia
2022-06-03 10:00:00;goiaba
2022-06-03 10:20:00;banana
2022-06-03 10:40:00;abacaxi
2022-06-03 11:00:00;banana
2022-06-03 11:20:00;banana
2022-06-03 11:40:00;goiaba
2022-06-03 12:00:00;goiaba
2022-06-03 12:20:00;abacate
2022-06-03 12:40:00;pessego
2022-06-03 13:00:00;uva
2022-06-03 13:20:00;banana
2022-06-03 13:40:00;laranja
2022-06-03 14:00:00;laranja
2022-06-03 14:20:00;abacate
2022-06-03 14:40:00;banana
2022-06-03 15:00:00;melancia
2022-06-03 15:20:00;tangerina
2022-06-03 15:40:00;manga
2022-06-03 16:00:00;uva
2022-06-03 16:20:00;uva
2022-06-03 16:40:00;manga
2022-06-03 17:00:00;banana
2022-06-03 17:20:00;tangerina
2022-06-03 17:40:00;uva
2022-06-03 18:00:00;abacate
2022-06-03 18:20:00;pessego
2022-06-03 18:40:00;tangerina
2022-06-03 19:00:00;melancia
2022-06-03 19:20:00;melancia
2022-06-03 19:40:00;melancia
2022-06-03 20:00:00;melancia
2022-06-03 20:20:00;abacaxi
2022-06-03 20:40:00;pessego
2022-06-03 21:00:00;melancia
2022-06-03 21:20:00;abacate
2022-06-03 21:40:00;goiaba
2022-06-03 22:00:00;abacaxi
2022-06-03 22:20:00;goiaba
2022-06-03 22:40:00;pessego
2022-06-03 23:00:00;banana
2022-06-03 23:20:00;abacaxi
2022-06-03 23:40:00;manga
2022-06-04 00:00:00;uva
2022-06-04 00:20:00;abacate
2022-06-04 00:40:00;abacaxi
2022-06-04 01:00:00;abacate
2022-06-04 01:20:00;uva
2022-06-04 01:40:00;banana
2022-06-04 02:00:00;tangerina
2022-06-04 02:20:00;abacaxi
2022-06-04 02:40:00;manga
2022-06-04 03:00:00;uva
2022-06-04 03:20:00;abacate
2022-06-04 03:40:00;abacaxi
2022-06-04 04:00:00;goiaba
2022-06-04 04:20:00;uva
2022-06-04 04:40:00;melancia
2022-06-04 05:00:00;banana
2022-06-04 05:20:00;laranja
2022-06-04 05:40:00;manga
2022-06-04 06:00:00;uva
2022-06-04 06:20:00;manga
2022-06-04 06:40:00;pessego
2022-06-04 07:00:00;abacaxi
2022-06-04 07:20:00;abacaxi
2022-06-04 07:40:00;pessego
2022-06-04 08:00:00;pessego
2022-06-04 08:20:00;pessego
2022-06-04 08:40:00;pessego
2022-06-04 09:00:00;laranja
2022-06-04 09:20:00;abacaxi
2022-06-04 09:40:00;banana
2022-06-04 10:00:00;abacaxi
2022-06-04 10:20:00;manga
2022-06-04 10:40:00;laranja
2022-06-04 11:00:00;pessego
2022-06-04 11:20:00;banana
2022-06-04 11:40:00;tangerina
2022-06-04 12:00:00;abacate
2022-06-04 12:20:00;goiaba
2022-06-04 12:40:00;tangerina
2022-06-04 13:00:00;manga
2022-06-04 13:20:00;banana
2022-06-04 13:40:00;tangerina
2022-06-04 14:00:00;abacate
2022-06-04 14:20:00;tangerina
2022-06-04 14:40:00;laranja
2022-06-04 15:00:00;abacaxi
2022-06-04 15:20:00;laranja
2022-06-04 15:40:00;tangerina
2022-06-04 16:00:00;manga
2022-06-04 16:20:00;banana
2022-06-04 16:40:00;manga
2022-06-04 17:00:00;goiaba
2022-06-04 17:20:00;tangerina
2022-06-04 17:40:00;tangerina
2022-06-04 18:00:00;tangerina
2022-06-04 18:20:00;manga
2022-06-04 18:40:00;goiaba
2022-06-04 19:00:00;uva
2022-06-04 19:20:00;goiaba
2022-06-04 19:40:00;goiaba
2022-06-04 20:00:00;melancia
2022-06-04 20:20:00;goiaba
2022-06-04 20:40:00;goiaba
2022-06-04 21:00:00;tangerina
2022-06-04 21:20:00;pessego
2022-06-04 21:40:00;manga
2022-06-04 22:00:00;abacate
2022-06-04 22:20:00;abacate
2022-06-04 22:40:00;laranja
2022-06-04 23:00:00;pessego
2022-06-04 23:20:00;laranja
2022-06-04 23:40:00;goiaba
2022-06-05 00:00:00;uva
2022-06-05 00:20:00;manga
2022-06-05 00:40:00;pessego
2022-06-05 01:00:00;manga
2022-06-05 01:20:00;manga
2022-06-05 01:40:00;abacaxi
2022-06-05 02:00:00;goiaba
2022-06-05 02:20:00;abacaxi
2022-06-05 02:40:00;goiaba
2022-06-05 03:00:00;pessego
2022-06-05 03:20:00;goiaba
2022-06-05 03:40:00;manga
2022-06-05 04:00:00;goiaba
2022-06-05 04:20:00;pessego
2022-06-05 04:40:00;uva
2022-06-05 05:00:00;uva
2022-06-05 05:20:00;abacate
2022-06-05 05:40:00;pessego
2022-06-05 06:00:00;manga
2022-06-05 06:20:00;abacaxi
2022-06-05 06:40:00;abacaxi
2022-06-05 07:00:00;melancia
2022-06-05 07:20:00;goiaba
2022-06-05 07:40:00;pessego
2022-06-05 08:00:00;banana
2022-06-05 08:20:00;melancia
2022-06-05 08:40:00;manga
2022-06-05 09:00:00;abacaxi
2022-06-05 09:20:00;melancia
2022-06-05 09:40:00;pessego
2022-06-05 10:00:00;melancia
2022-06-05 10:20:00;abacaxi
2022-06-05 10:40:00;banana
2022-06-05 11:00:00;banana
2022-06-05 11:20:00;banana
2022-06-05 11:40:00;abacate
2022-06-05 12:00:00;banana
2022-06-05 12:20:00;uva
2022-06-05 12:40:00;pessego
2022-06-05 13:00:00;banana
2022-06-05 13:20:00;uva
2022-06-05 13:40:00;uva
2022-06-05 14:00:00;pessego
2022-06-05 14:20:00;manga
2022-06-05 14:40:00;banana
2022-06-05 15:00:00;tangerina
2022-06-05 15:20:00;tangerina
2022-06-05 15:40:00;banana
2022-06-05 16:00:00;abacate
2022-06-05 16:20:00;abacate
2022-06-05 16:40:00;abacaxi
2022-06-05 17:00:00;tangerina
2022-06-05 17:20:00;banana
2022-06-05 17:40:00;melancia
2022-06-05 18:00:00;goiaba
2022-06-05 18:20:00;goiaba
2022-06-05 18:40:00;abacate
2022-06-05 19:00:00;laranja
2022-06-05 19:20:00;goiaba
2022-06-05 19:40:00;laranja
2022-06-05 20:00:00;tangerina
2022-06-05 20:20:00;goiaba
2022-06-05 20:40:00;uva
2022-06-05 21:00:00;manga
2022-06-05 21:20:00;laranja
2022-06-05 21:40:00;tangerina
2022-06-05 22:00:00;melancia
2022-06-05 22:20:00;banana
2022-06-05 22:40:00;abacate
2022-06-05 23:00:00;manga
2022-06-05 23:20:00;pessego
2022-06-05 23:40:00;uva
2022-06-06 00:00:00;tangerina
2022-06-06 00:20:00;melancia
2022-06-06 00:40:00;tangerina
2022-06-06 01:00:00;banana
2022-06-06 01:20:00;tangerina
2022-06-06 01:40:00;banana
2022-06-06 02:00:00;tangerina
2022-06-06 02:20:00;tangerina
2022-06-06 02:40:00;abacate
2022-06-06 03:00:00;pessego
2022-06-06 03:20:00;banana
2022-06-06 03:40:00;uva
2022-06-06 04:00:00;abacate
2022-06-06 04:20:00;banana
2022-06-06 04:40:00;banana
2022-06-06 05:00:00;banana
2022-06-06 05:20:00;pessego
2022-06-06 05:40:00;uva
2022-06-06 06:00:00;abacaxi
2022-06-06 06:20:00;tangerina
2022-06-06 06:40:00;abacate
2022-06-06 07:00:00;manga
2022-06-06 07:20:00;tangerina
2022-06-06 07:40:00;tangerina
2022-06-06 08:00:00;tangerina
2022-06-06 08:20:00;pessego
2022-06-06 08:40:00;abacaxi
2022-06-06 09:00:00;tangerina
2022-06-06 09:20:00;abacate
2022-06-06 09:40:00;goiaba
2022-06-06 10:00:00;goiaba
2022-06-06 10:20:00;laranja
2022-06-06 10:40:00;abacate
2022-06-06 11:00:00;abacaxi
2022-06-06 11:20:00;tangerina
2022-06-06 11:40:00;pessego
2022-06-06 12:00:00;tangerina
2022-06-06 12:20:00;abacate
2022-06-06 12:40:00;abacaxi
2022-06-06 13:00:00;pessego
2022-06-06 13:20:00;manga
2022-06-06 13:40:00;uva
2022-06-06 14:00:00;tangerina
2022-06-06 14:20:00;uva
2022-06-06 14:40:00;tangerina
2022-06-06 15:00:00;goiaba
2022-06-06 15:20:00;laranja
2022-06-06 15:40:00;pessego
2022-06-06 16:00:00;tangerina
2022-06-06 16:20:00;tangerina
2022-06-06 16:40:00;pessego
2022-06-06 17:00:00;tangerina
2022-06-06 17:20:00;goiaba
2022-06-06 17:40:00;tangerina
2022-06-06 18:00:00;laranja
2022-06-06 18:20:00;tangerina
2022-06-06 18:40:00;goiaba
2022-06-06 19:00:00;pessego
2022-06-06 19:20:00;banana
2022-06-06 19:40:00;melancia
2022-06-06 20:00:00;abacaxi
2022-06-06 20:20:00;melancia
2022-06-06 20:40:00;pessego
2022-06-06 21:00:00;manga
2022-06-06 21:20:00;abacaxi
2022-06-06 21:40:00;goiaba
2022-06-06 22:00:00;melancia
2022-06-06 22:20:00;abacaxi
2022-06-06 22:40:00;goiaba
2022-06-06 23:00:00;laranja
2022-06-06 23:20:00;abacaxi
2022-06-06 23:40:00;banana
2022-06-07 00:00:00;manga
2022-06-07 00:20:00;banana
2022-06-07 00:40:00;laranja
2022-06-07 01:00:00;banana
2022-06-07 01:20:00;pessego
2022-06-07 01:40:00;goiaba
2022-06-07 02:00:00;abacaxi
2022-06-07 02:20:00;melancia
2022-06-07 02:40:00;pessego
2022-06-07 03:00:00;banana
2022-06-07 03:20:00;goiaba
2022-06-07 03:40:00;banana
2022-06-07 04:00:00;melancia
2022-06-07 04:20:00;tangerina
2022-06-07 04:40:00;melancia
2022-06-07 05:00:00;manga
2022-06-07 05:20:00;melancia
2022-06-07 05:40:00;goiaba
2022-06-07 06:00:00;manga
2022-06-07 06:20:00;manga
2022-06-07 06:40:00;abacaxi
2022-06-07 07:00:00;manga
2022-06-07 07:20:00;abacate
2022-06-07 07:40:00;manga
2022-06-07 08:00:00;tangerina
2022-06-07 08:20:00;pessego
2022-06-07 08:40:00;pessego
2022-06-07 09:00:00;abacate
2022-06-07 09:20:00;melancia
2022-06-07 09:40:00;manga
2022-06-07 10:00:00;tangerina
2022-06-07 10:20:00;uva
2022-06-07 10:40:00;laranja
2022-06-07 11:00:00;tangerina
2022-06-07 11:20:00;abacaxi
2022-06-07 11:40:00;abacaxi
2022-06-07 12:00:00;goiaba
2022-06-07 12:20:00;abacaxi
2022-06-07 12:40:00;abacaxi
2022-06-07 13:00:00;laranja
2022-06-07 13:20:00;laranja
2022-06-07 13:40:00;abacate
2022-06-07 14:00:00;banana
2022-06-07 14:20:00;laranja
2022-06-07 14:40:00;banana
2022-06-07 15:00:00;melancia
2022-06-07 15:20:00;laranja
2022-06-07 15:40:00;melancia
2022-06-07 16:00:00;banana
2022-06-07 16:20:00;tangerina
2022-06-07 16:40:00;tangerina
2022-06-07 17:00:00;uva
2022-06-07 17:20:00;pessego
2022-06-07 17:40:00;manga
2022-06-07 18:00:00;abacaxi
2022-06-07 18:20:00;laranja
2022-06-07 18:40:00;abacate
2022-06-07 19:00:00;banana
2022-06-07 19:20:00;melancia
2022-06-07 19:40:00;abacaxi
2022-06-07 20:00:00;laranja
2022-06-07 20:20:00;abacate
2022-06-07 20:40:00;abacaxi
2022-06-07 21:00:00;laranja
2022-06-07 21:20:00;abacaxi
2022-06-07 21:40:00;uva
2022-06-07 22:00:00;goiaba
2022-06-07 22:20:00;abacaxi
2022-06-07 22:40:00;laranja
2022-06-07 23:00:00;abacaxi
2022-06-07 23:20:00;pessego
2022-06-07 23:40:00;abacate
2022-06-08 00:00:00;manga
2022-06-08 00:20:00;tangerina
2022-06-08 00:40:00;melancia
2022-06-08 01:00:00;laranja
2022-06-08 01:20:00;uva
2022-06-08 01:40:00;banana
2022-06-08 02:00:00;abacate
2022-06-08 02:20:00;tangerina
2022-06-08 02:40:00;goiaba
2022-06-08 03:00:00;abacaxi
2022-06-08 03:20:00;banana
2022-06-08 03:40:00;laranja
2022-06-08 04:00:00;abacate
2022-06-08 04:20:00;banana
2022-06-08 04:40:00;goiaba
2022-06-08 05:00:00;laranja
2022-06-08 05:20:00;laranja
2022-06-08 05:40:00;tangerina
2022-06-08 06:00:00;goiaba
2022-06-08 06:20:00;laranja
2022-06-08 06:40:00;pessego
2022-06-08 07:00:00;tangerina
2022-06-08 07:20:00;banana
2022-06-08 07:40:00;laranja
2022-06-08 08:00:00;manga
2022-06-08 08:20:00;abacate
2022-06-08 08:40:00;laranja
2022-06-08 09:00:00;abacate
2022-06-08 09:20:00;abacate
2022-06-08 09:40:00;abacate
2022-06-08 10:00:00;tangerina
2022-06-08 10:20:00;tangerina
2022-06-08 10:40:00;goiaba
2022-06-08 11:00:00;tangerina
2022-06-08 11:20:00;pessego
2022-06-08 11:40:00;goiaba
2022-06-08 12:00:00;pessego
2022-06-08 12:20:00;abacaxi
2022-06-08 12:40:00;melancia
2022-06-08 13:00:00;pessego
2022-06-08 13:20:00;tangerina
2022-06-08 13:40:00;melancia
2022-06-08 14:00:00;tangerina
2022-06-08 14:20:00;laranja
2022-06-08 14:40:00;goiaba
2022-06-08 15:00:00;goiaba
2022-06-08 15:20:00;manga
2022-06-08 15:40:00;goiaba
2022-06-08 16:00:00;banana
2022-06-08 16:20:00;melancia
2022-06-08 16:40:00;manga
2022-06-08 17:00:00;abacate
2022-06-08 17:20:00;banana
2022-06-08 17:40:00;abacate
